particle,fluid,phi,T,size,k_ratio
CuO,H2O,0.025,45,1.00E-07,1.194555435
CuO,H2O,0.05,30,7.00E-08,1.194556868
CuO,60:40 EG/W,0.035,30,9.00E-08,1.194703366
CuO,EG,0.04,30,1.00E-07,1.194755315
CuO,EG,0.03,30,7.00E-08,1.194861045
CuO,EG,0.01,45,1.25E-07,1.194981076
CuO,H2O,0.015,45,7.00E-08,1.195075753
Al2O3,H2O,0.01,40,1.50E-07,1.195164875
CuO,EG,0.045,30,1.25E-07,1.195171193
CuO,H2O,0.015,40,5.00E-08,1.195307293
CuO,H2O,0.045,35,9.00E-08,1.195422759
CuO,H2O,0.02,40,6.00E-08,1.195547912
CuO,EG,0.02,30,5.00E-08,1.195560929
Al2O3,H2O,0.01,35,1.00E-07,1.195656367
CuO,H2O,0.015,30,2.00E-08,1.195724285
CuO,H2O,0.02,35,4.00E-08,1.195729086
CuO,60:40 EG/W,0.01,35,6.00E-08,1.195787246
CuO,H2O,0.025,40,7.00E-08,1.195834624
Al2O3,H2O,0.01,30,6.00E-08,1.195968848
CuO,60:40 EG/W,0.035,35,1.50E-07,1.195976641
CuO,40:60 EG/W,0.035,30,7.00E-08,1.196115008
CuO,40:60 EG/W,0.03,30,6.00E-08,1.196275669
CuO,EG,0.035,30,8.00E-08,1.196292955
CuO,H2O,0.03,50,1.50E-07,1.196309839
CuO,60:40 EG/W,0.01,40,9.00E-08,1.196442052
CuO,40:60 EG/W,0.045,30,1.00E-07,1.196577358
CuO,H2O,0.03,40,8.00E-08,1.196605692
CuO,EG,0.015,35,7.00E-08,1.196897978
CuO,60:40 EG/W,0.045,30,1.25E-07,1.196914193
CuO,H2O,0.045,30,5.00E-08,1.196933764
CuO,EG,0.025,35,1.00E-07,1.1969757
